FM: initial setting 0
L:1.14675e+14 diff_v:0.0270493 diff_w:0.000972591 diff:0.0280219 step199
L:1.14779e+14 diff_v:0.0263138 diff_w:0.000955899 diff:0.0272697 step200
L:1.14883e+14 diff_v:0.025588 diff_w:0.000938949 diff:0.0265269 step201
L:1.14986e+14 diff_v:0.0248725 diff_w:0.000921775 diff:0.0257943 step202
L:1.15088e+14 diff_v:0.0241678 diff_w:0.000904409 diff:0.0250722 step203
L:1.1519e+14 diff_v:0.0234744 diff_w:0.000886881 diff:0.0243613 step204
L:1.1529e+14 diff_v:0.0227927 diff_w:0.000869224 diff:0.0236619 step205
L:1.1539e+14 diff_v:0.0221231 diff_w:0.000851467 diff:0.0229745 step206
L:1.15489e+14 diff_v:0.0214659 diff_w:0.000833638 diff:0.0222995 step207
L:1.15587e+14 diff_v:0.0208214 diff_w:0.000815767 diff:0.0216372 step208
L:1.15684e+14 diff_v:0.0201899 diff_w:0.000797879 diff:0.0209878 step209
L:1.1578e+14 diff_v:0.0195716 diff_w:0.000780002 diff:0.0203516 step210
L:1.15875e+14 diff_v:0.0189667 diff_w:0.000762159 diff:0.0197288 step211
L:1.15969e+14 diff_v:0.0183752 diff_w:0.000744375 diff:0.0191195 step212
L:1.16061e+14 diff_v:0.0177973 diff_w:0.000726673 diff:0.0185239 step213
L:1.16153e+14 diff_v:0.017233 diff_w:0.000709073 diff:0.0179421 step214
L:1.16243e+14 diff_v:0.0166824 diff_w:0.000691596 diff:0.017374 step215
L:1.16332e+14 diff_v:0.0161456 diff_w:0.000674261 diff:0.0168198 step216
L:1.1642e+14 diff_v:0.0156224 diff_w:0.000657085 diff:0.0162794 step217
L:1.16506e+14 diff_v:0.0151128 diff_w:0.000640086 diff:0.0157529 step218
L:1.16592e+14 diff_v:0.0146168 diff_w:0.000623278 diff:0.0152401 step219
L:1.16676e+14 diff_v:0.0141343 diff_w:0.000606677 diff:0.0147409 step220
L:1.16759e+14 diff_v:0.0136651 diff_w:0.000590295 diff:0.0142554 step221
L:1.16841e+14 diff_v:0.0132092 diff_w:0.000574143 diff:0.0137833 step222
L:1.16922e+14 diff_v:0.0127663 diff_w:0.000558234 diff:0.0133246 step223
L:1.17001e+14 diff_v:0.0123365 diff_w:0.000542578 diff:0.012879 step224
L:1.17079e+14 diff_v:0.0119193 diff_w:0.000527182 diff:0.0124465 step225
L:1.17156e+14 diff_v:0.0115148 diff_w:0.000512054 diff:0.0120268 step226
L:1.17232e+14 diff_v:0.0111226 diff_w:0.000497203 diff:0.0116198 step227
L:1.17306e+14 diff_v:0.0107427 diff_w:0.000482633 diff:0.0112253 step228
L:1.17379e+14 diff_v:0.0103746 diff_w:0.00046835 diff:0.010843 step229
 Pr 
